City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,leninskoye,41.7349,69.2308,270.05,98,100,2.57,KZ,1702305879
1,assab,12.5337,41.846,305.91,27,46,2.46,ET,1702305881
2,helena valley southeast,46.9671,-111.7021,270.52,97,100,1.57,US,1702305881
3,ust'-donetskiy,47.7268,40.7557,272.91,89,100,8.62,RU,1702305882
4,posto fiscal rolim de moura,-12.471,-62.2729,309.51,41,91,0.25,BR,1702305883
5,tobelo,2.7582,127.7766,301.8,75,65,5.08,ID,1702305886
6,ancud,47.7996,122.9879,249.47,89,100,1.72,CN,1702305889
7,blackmans bay,34.3084,26.4335,291.32,64,59,4.07,GR,1702305890
8,thunder bay,22.8813,-111.1652,296.62,59,0,3.68,MX,1702305892
9,meulaboh,34.7801,99.8079,262.89,43,0,3.71,CN,1702305894
10,sijunjung,52.0379,-89.4972,262.42,94,95,3.55,CA,1702305895
11,vila franca do campo,45.5224,15.3992,280.75,87,100,2.14,SI,1702305898
12,badger,-0.7143,100.9376,296.41,98,100,0.55,ID,1702305899
13,annaka,-0.3534,20.0088,301.17,82,90,0.37,CD,1702305901
14,filadelfia,66.1037,15.5217,262.11,100,72,1.47,SE,1702305903
15,faya-largeau,-6.1865,120.7892,302.58,76,100,8.18,ID,1702305906
16,saipan,63.4604,121.3062,246.33,96,100,3.94,RU,1702305908
17,taiohae,22.7231,68.8831,297.05,59,88,5.04,IN,1702305910
18,udachny,36.3508,138.7417,283.18,78,100,1.35,JP,1702305911
19,benjamin aceval,-21.7061,-60.1662,308.59,37,84,2.09,PY,1702305912
20,nalerigu,-21.4079,-173.8536,298.14,64,0,8.37,TO,1702305913
21,paphos,64.5172,-84.54,248.16,94,8,3.61,CA,1702305913
22,fairmont,55.5784,42.2499,264.53,86,100,6.31,RU,1702305920
23,acarau,-25.0679,-57.7224,302.38,60,23,2.95,PY,1702305922
24,pyapon,10.6987,-0.1518,308.46,8,15,3.7,GH,1702305923
25,enewetak,34.9974,32.1694,291.2,61,2,1.83,CY,1702305924
26,hammerfest,-42.6753,-74.4562,284.76,91,100,2.42,CL,1702305927
27,college,43.6551,-94.69,265.47,66,0,2.94,US,1702305932
